Month;Province;Grocery_and_pharmacy;Parks;Resedential;Transit_station;Retail_and_Creation;Workplace
December;Jakarta;-6.55;-47.52;11.87;-36.39;-27.48;-30.77
January;Jakarta;-17.23;-53.32;12.74;-43.84;-36.1;-33
February;Jakarta;-7.19;-33.81;7.28;-25.98;-21.42;-20.37
March;Jambi;-1.21;-13.89;3.68;-13.53;-10.76;-9.39
April;Jambi;-17.8;-30.5;12.03;-50.13;-32.97;-24.83
May;Jambi;-9.29;-21.13;11.84;-57.74;-26.39;-26.16
June;Jambi;-5;-13.13;8.47;-44.33;-16.1;-13.93
July;Jambi;2.39;-9.87;7.19;-27.16;-11.26;-13.52
Augst;Jambi;4.45;-3.03;6;-23.1;-9.87;-12.52
September;Jambi;3.97;-7.63;8.2;-27.71;-13.6;-11.1
October;Jambi;4.58;-15.42;7.16;-30.74;-18.29;-21.97
November;Jambi;4.9;-14.77;3.83;-27.13;-15.63;-20.47
December;Jambi;12.13;0.23;6.35;-19.16;-10.94;-23.68
January;Jambi;-0.77;-12.26;6.52;-31.13;-19.1;-24.61
February;Jambi;1.88;-12.3;1.02;-19.28;-11.26;-15.74
March;Lampung;-0.71;-15.24;5.32;-18.97;-10.79;-13.53
April;Lampung;-11.43;-27.5;12.13;-43.03;-27.47;-28.43
May;Lampung;0.06;-24.84;11.74;-45.55;-22.42;-28.29
June;Lampung;2.97;-16.2;9.1;-37.97;-13.37;-17.8
July;Lampung;8.74;-7.97;8.03;-32.16;-6.81;-17.1
Augst;Lampung;15.35;8.71;6.45;-22.71;-1.74;-14.9
September;Lampung;10.37;-1.8;9.93;-25.4;-7.17;-15.37
October;Lampung;12.29;-5.35;8.45;-22.65;-9.13;-24.42
November;Lampung;8.9;-13.93;7.3;-23.63;-10.73;-24.5
December;Lampung;13.97;-7.32;10.45;-13.61;-8.58;-27.87
January;Lampung;-0.03;-17.55;11.45;-26.61;-17.74;-28.74
February;Lampung;-0.67;-18.86;5.14;-24.4;-12.67;-19.26
March;Maluku;-2.63;-11.26;2.92;-11.55;-13.55;-13.18
April;Maluku;-22.6;-18.57;12.23;-42.33;-38.9;-30.53
May;Maluku;-19.35;-19.19;13.29;-61.29;-35.35;-27.94
June;Maluku;-21.7;-24.5;12.43;-56.3;-34.57;-20.27
July;Maluku;-16.87;-22.55;11.94;-46.42;-31.45;-20.03
Augst;Maluku;-7;-10.03;9.13;-35.75;-17.55;-17.97
September;Maluku;-5.07;-6.34;6.77;-32.25;-18.53;-17.47
October;Maluku;3.84;8.29;-0.81;-23;-17.84;-26.65
November;Maluku;6.1;4.97;-5.67;-24.33;-14.9;-24.63
December;Maluku;17.06;25.61;-2.06;-8.55;-7.74;-29
January;Maluku;-3.35;7.52;-0.52;-22.48;-19.87;-29.81
February;Maluku;-4.21;-5.56;-3.74;-18;-15.47;-20.77
March;North Kalimantan;-0.58;-11.47;2.39;-12.5;-12.34;-8.76
April;North Kalimantan;-20.2;-35.13;12.5;-46.53;-39.5;-25
May;North Kalimantan;-7.68;-28.84;13.19;-51.29;-33.68;-24.61
June;North Kalimantan;-0.43;-15.33;9.43;-37;-19.4;-10.73
July;North Kalimantan;6.81;-9.87;7.77;-28.81;-11.52;-10.45
Augst;North Kalimantan;10.94;-3.75;6.68;-23.63;-7.9;-12.1
September;North Kalimantan;4.15;-2.32;5.5;-23.2;-8.7;-11
October;North Kalimantan;12.03;-1.19;-0.16;-25.55;-9.81;-18.32
November;North Kalimantan;13.4;-5.93;-4;-16.93;-7;-16.7
December;North Kalimantan;19.26;-1;0.06;-14.87;-8.26;-22.52
January;North Kalimantan;4.71;-15.68;0.9;-29.42;-20.1;-25.9
February;North Kalimantan;3.16;-10.47;-3.05;-15.72;-13.35;-18.4
March;North Maluku;5.84;-11.37;1.66;-17.5;-13.24;-9.21
April;North Maluku;-10.03;-23.97;11.33;-44.4;-33.17;-22.73
May;North Maluku;-0.94;-21.87;12.45;-52.9;-30.71;-21.68
June;North Maluku;-1.77;-21.57;10.4;-41.1;-27;-13.57
July;North Maluku;8.48;-19.16;8.74;-25.16;-21.1;-13
Augst;North Maluku;16.19;-11.5;6.94;-14.94;-13.75;-13.48
September;North Maluku;16.25;-8.96;4.93;-21.3;-13.9;-14.3
October;North Maluku;26.42;0.16;-2.19;-22.97;-10.06;-23.87
November;North Maluku;28.73;-5.23;-7.03;-22.23;-10.63;-23.27
December;North Maluku;47.65;4.29;-3.42;-5.55;-6.06;-26.23
January;North Maluku;27;-8.94;-2.45;-9.58;-18.23;-27.32
February;North Maluku;13.7;-9.37;-5.6;-9.28;-14.33;-18.63
March;North Sulawesi;-3.29;-17.42;5.34;-11.95;-16.29;-10.58
April;North Sulawesi;-26.13;-31.43;16;-55.4;-47.07;-30.63
May;North Sulawesi;-20.45;-30.94;16.13;-62.94;-44.23;-26.71
June;North Sulawesi;-16.9;-26.07;14.37;-54.4;-39.13;-19.33
July;North Sulawesi;-8.84;-20.16;12.03;-43.87;-29.16;-19.13
Augst;North Sulawesi;-2.32;-7.45;9.71;-36.1;-20.35;-16.84
September;North Sulawesi;0.53;-10.4;9.67;-25.2;-17.17;-15.4
October;North Sulawesi;4.81;-8.48;6.26;-19.52;-15.19;-19.68
November;North Sulawesi;4.47;-11.9;3.93;-13.53;-12.9;-18.47
December;North Sulawesi;13.55;0.45;7.29;-5.61;-6.55;-23
January;North Sulawesi;-7.71;-15.58;9.48;-20.77;-26.81;-25.1
February;North Sulawesi;-1.7;-16.65;2.47;-15.33;-15.05;-13.93
March;North Sumatra;-4.18;-16.26;5.71;-17.66;-15.74;-11.03
April;North Sumatra;-24.53;-40.6;15.57;-50;-41;-30.2
May;North Sumatra;-15.26;-33.32;14.52;-49.9;-32.77;-30.55
June;North Sumatra;-10.83;-19.47;10.97;-40.47;-23.27;-19.53
July;North Sumatra;-7.71;-13.48;10.26;-33.52;-18.26;-19.61
Augst;North Sumatra;-3.1;-1.29;9;-30.39;-15.84;-19.61
September;North Sumatra;-3.9;-10.67;10.17;-31;-18.43;-18.57
October;North Sumatra;-1.1;-8.1;7.87;-28.39;-19.19;-23.97
November;North Sumatra;-2.47;-14.47;5.87;-28;-18.67;-21.87
December;North Sumatra;7.35;-0.35;8;-13.94;-12.74;-24.74
January;North Sumatra;-4.03;-3.32;7.77;-23.65;-19.84;-27.52
February;North Sumatra;-1.35;-7.72;2.95;-17.63;-13.56;-16.95
March;Papua;-9.24;-11.87;3.11;-13.26;-13.97;-9.84
April;Papua;-34.4;-32.5;14.57;-53.37;-44.2;-27.93
May;Papua;-27.71;-33.13;15.19;-55.9;-43.58;-26.58
June;Papua;-20.47;-20.47;11.13;-45.67;-32.3;-14.4
July;Papua;-12.77;-10.06;8.19;-32.42;-21.06;-12.58
Augst;Papua;-8.71;-4.15;6.9;-26.23;-17.74;-12.81
September;Papua;-8.63;3.45;5.8;-14.97;-15.1;-13.37
October;Papua;-0.9;6.81;2;-14.48;-16.94;-22.61
November;Papua;-0.2;-5.37;-2.37;-12.47;-14.93;-19.63
December;Papua;13.71;12.61;-0.45;-1.29;-7.77;-24.13
January;Papua;-4.16;3.84;0.84;-15.45;-20.16;-25.26
February;Papua;-5.77;-7.16;-2.05;-11.49;-13.58;-18.19
March;Riau;-3.05;-10.32;4.13;-18.34;-10.42;-10
April;Riau;-23.2;-15.57;12.97;-51.07;-35.23;-24.1
May;Riau;-12.48;-10.52;12.9;-54.61;-28.23;-26
June;Riau;-5.1;-6.73;9.03;-43.37;-14;-14.1
July;Riau;-3.68;-6.45;8.35;-40.26;-10.1;-14.13
Augst;Riau;-1.52;3.42;6.52;-39.19;-9;-14.81
September;Riau;-3.93;-4.33;10.1;-42;-14.07;-15.4
October;Riau;-0.61;-3.06;7.35;-35.16;-14.03;-23.29
November;Riau;-1.67;-15.37;4.87;-35.73;-13.47;-22.17
